,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,American Apparel,50/50 Classic Crewneck T-Shirt,top,bb301w,08/18/2020 14:47:27,50/50 Classic Crewneck T-Shirt | American Apparel,https://americanapparel.com/50-50-classic-crewneck-t-shirt/,$9.59 - $16.49,50% cotton / 50% polyester, ,50% ,50% , , , , , , , , , , 
1,American Apparel,50/50 Classic Ringer T-Shirt,top,bb310w,08/18/2020 14:47:39,50/50 Classic Ringer T-Shirt | American Apparel,https://americanapparel.com/50-50-classic-ringer-t-shirt/,$15.00 - $19.19,50% cotton / 50% polyester, ,50% ,50% , , , , , , , , , , 
2,American Apparel,Basic Knit V Sweater,outterwear/jacket,kwc7dvw,08/18/2020 14:47:50,Basic Knit V Sweater | American Apparel,https://americanapparel.com/basic-knit-v-sweater/,$13.19 - $58.00,"a timeless classic, our 100% cotton sweater fabric is essential for layering.", ,100% , , , , , , , , , , , 
3,American Apparel,Cotton 2x2 Long Sleeve Crewneck Dress,dress,ctw3585w,08/18/2020 14:48:02,Cotton 2x2 Long Sleeve Crewneck Dress | American Apparel,https://americanapparel.com/cotton-2x2-long-sleeve-crewneck-dress/,$22.61 - $40.00,95% cotton / 5% spandex, ,95% , , , , ,5% , , , , , , 
4,American Apparel,Cotton 2x2 U Back Bodysuit,bodysuit/romper,ctw3220w,08/18/2020 14:48:13,Cotton 2x2 U Back Bodysuit | American Apparel,https://americanapparel.com/cotton-2x2-u-back-bodysuit/,$12.82 - $28.00,95% cotton / 5% spandex, ,95% , , , , ,5% , , , , , , 
5,American Apparel,Cotton Spandex Cross V Bodysuit,bodysuit/romper,rsa8328w,08/18/2020 14:48:26,Cotton Spandex Cross V Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-cross-v-bodysuit/,$13.07 - $32.00,92% cotton / 8% spandex, ,92% , , , , ,8% , , , , , , 
6,American Apparel,Cotton Spandex Deep Cut Bodysuit,bodysuit/romper,rsa83222w,08/18/2020 14:48:40,Cotton Spandex Deep Cut Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-deep-cut-bodysuit/,$15.99 - $26.00,92% cotton / 8% spandex, ,92% , , , , ,8% , , , , , , 
7,American Apparel,Cotton Spandex Halter Bodysuit,bodysuit/romper,rsa8312w,08/18/2020 14:48:51,Cotton Spandex Halter Bodysuit | American Apparel,https://americanapparel.com/cotton-spandex-halter-bodysuit/,$9.61 - $29.90,92% cotton / 8% spandex, ,92% , , , , ,8% , , , , , , 
8,American Apparel,Cotton Spandex Jersey High-Waist Leggings,bottoms,rsa8349w,08/18/2020 14:49:04,Cotton Spandex Jersey High-Waist Leggings | American Apparel,https://americanapparel.com/cotton-spandex-jersey-high-waist-leggings/,$19.30 - $28.00, , , , , , , , , , , , , , 
9,American Apparel,Cotton Spandex Jersey High-Waist Leggings,bottoms,rsa8349w,08/18/2020 14:49:14,Cotton Spandex Jersey High-Waist Leggings | American Apparel,https://americanapparel.com/cotton-spandex-jersey-high-waist-leggings/?&defaultImageAlt=Cotton%20Spandex%20Jersey%20High-Waist%20Leggings%20(Heather%20Grey),$19.30 - $28.00, , , , , , , , , , , , , , 
10,American Apparel,Cotton Spandex Jersey Legging,bottoms,8328w,08/18/2020 14:49:28,Cotton Spandex Jersey Legging | American Apparel,https://americanapparel.com/cotton-spandex-jersey-legging/,$9.90 - $28.00,92% cotton / 8% spandex, ,92% , , , , ,8% , , , , , , 
11,American Apparel,Cotton Spandex Jersey Legging,bottoms,8328w,08/18/2020 14:49:39,Cotton Spandex Jersey Legging | American Apparel,https://americanapparel.com/cotton-spandex-jersey-legging/?&defaultImageAlt=Cotton%20Spandex%20Jersey%20Legging%20(Asphalt),$9.90 - $28.00,92% cotton / 8% spandex, ,92% , , , , ,8% , , , , , , 
12,American Apparel,Cotton Spandex Jersey Legging,bottoms,8328w,08/18/2020 14:49:51,Cotton Spandex Jersey Legging | American Apparel,https://americanapparel.com/cotton-spandex-jersey-legging/?&defaultImageAlt=Cotton%20Spandex%20Jersey%20Legging%20(Forest),$9.90 - $28.00,92% cotton / 8% spandex, ,92% , , , , ,8% , , , , , , 
