,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,American Eagle,AE 360 Ne(x)t Level Curvy Highest Waist Jegging,other,3439-2276,08/18/2020 14:54:21,AE 360 Ne(x)t Level Curvy Highest Waist Jegging,https://www.ae.com/us/en/p/women/curvy-jeans/curvy-highest-waist-jegging/ae-360-ne-x-t-level-curvy-highest-waist-jegging/3439_2276_487?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$49.95,"85% cotton, 10% polyester, 5% elastane", ,85% ,10% , , , , , , , ,5% , , 
1,American Eagle,AE Ne(x)t Level Curvy Jegging,other,4438-2801,08/18/2020 14:54:30,AE Ne(x)t Level Curvy Jegging,https://www.ae.com/us/en/p/women/curvy-jeans/curvy-jegging/ae-ne-x-t-level-curvy-jegging/4438_2801_429?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$39.95,"75% cotton, 14% polyester, 8% viscose, 3% elastane", ,75% ,14% , , , , , , ,8% ,3% , , 
2,American Eagle,AE Ne(x)t Level Curvy Super High-Waisted Jegging Crop,other,0321-4128,08/18/2020 14:54:36,AE Ne(x)t Level Curvy Super High-Waisted Jegging Crop,https://www.ae.com/us/en/p/women/jegging/curvy-super-high-waisted-jegging-crop/ae-ne-x-t-level-curvy-super-high-waisted-jegging-crop/0321_4128_001?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$49.95,"60% cotton, 23% polyester, 11% viscose, 6% elastane", ,60% ,23% , , , , , , ,11% ,6% , , 
3,American Eagle,AE The Dream Jean Curvy High-Waisted Jegging,bottoms,3439-2636,08/18/2020 14:54:44,AE The Dream Jean Curvy High-Waisted Jegging,https://www.ae.com/us/en/p/women/curvy-jeans/curvy-high-waisted-jegging/ae-the-dream-jean-curvy-high-waisted-jegging/3439_2636_468?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$69.95,"84% cotton, 10% polyester, 6% elastane", ,84% ,10% , , , , , , , ,6% , , 
4,American Eagle,AE Ne(x)t Level Curvy Super High-Waisted Jegging,other,4430-2794,08/18/2020 14:54:50,AE Ne(x)t Level Curvy Super High-Waisted Jegging,https://www.ae.com/us/en/p/women/high-waisted-jeans/curvy-super-high-waisted-jegging/ae-ne-x-t-level-curvy-super-high-waisted-jegging/4430_2794_943?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$69.95,"71% cotton, 21% viscose, 7% polyester, 1% elastane", ,71% ,7% , , , , , , ,21% ,1% , , 
5,American Eagle,AE Ne(x)t Level Curvy High-Waisted Jegging Crop,other,4432-2470,08/18/2020 14:54:56,AE Ne(x)t Level Curvy High-Waisted Jegging Crop,https://www.ae.com/us/en/p/women/curvy-jeans/curvy-high-waisted-jegging-crop/ae-ne-x-t-level-curvy-high-waisted-jegging-crop/4432_2470_937?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$69.95,"80% cotton, 12% polyester, 6% viscose, 2% elastane", ,80% ,12% , , , , , , ,6% ,2% , , 
6,American Eagle,AE Ne(x)t Level Curvy High-Waisted Jegging,other,0328-4226,08/18/2020 14:55:06,AE Ne(x)t Level Curvy High-Waisted Jegging,https://www.ae.com/us/en/p/women/high-waisted-jeans/curvy-high-waisted-jegging/ae-ne-x-t-level-curvy-high-waisted-jegging/0328_4226_441?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$49.95,"85% cotton, 13% polyester, 2% elastane", ,85% ,13% , , , , , , , ,2% , , 
7,American Eagle,AE Ne(x)t Level Curvy High-Waisted Jegging Crop,other,4432-2469,08/18/2020 14:55:12,AE Ne(x)t Level Curvy High-Waisted Jegging Crop,https://www.ae.com/us/en/p/women/curvy-jeans/curvy-high-waisted-jegging-crop/ae-ne-x-t-level-curvy-high-waisted-jegging-crop/4432_2469_943?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$59.95,"71% cotton, 21% viscose, 7% polyester, 1% elastane", ,71% ,7% , , , , , , ,21% ,1% , , 
8,American Eagle,AE Curvy Highest Waist Jegging,other,4431-2812,08/18/2020 14:55:18,AE Curvy Highest Waist Jegging,https://www.ae.com/us/en/p/women/curvy-jeans/curvy-highest-waist-jegging/ae-curvy-highest-waist-jegging/4431_2812_849?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$49.95,"98% cotton, 2% lycra", ,98% , , , , , , , , , , , 
9,American Eagle,AE Stretch Curvy Mom Jean,bottoms,3439-2329,08/18/2020 14:55:27,AE Stretch Curvy Mom Jean,https://www.ae.com/us/en/p/women/high-waisted-jeans/curvy-mom-jeans/ae-stretch-curvy-mom-jean/3439_2329_922?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$49.95,"81% cotton, 13% modal, 5% polyester, 1% elastane", ,81% ,5% , , ,13% , , , , ,1% , , 
10,American Eagle,AE Ne(x)t Level Curvy High-Waisted Jegging,other,3439-2669,08/18/2020 14:55:37,AE Ne(x)t Level Curvy High-Waisted Jegging,https://www.ae.com/us/en/p/women/curvy-jeans/curvy-high-waisted-jegging/ae-ne-x-t-level-curvy-high-waisted-jegging/3439_2669_516?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$39.95,"90% cotton, 8% polyester, 2% elastane", ,90% ,8% , , , , , , , ,2% , , 
11,American Eagle,AE Ne(x)t Level Curvy Super High-Waisted Jegging,other,4430-2922,08/18/2020 14:55:46,AE Ne(x)t Level Curvy Super High-Waisted Jegging,https://www.ae.com/us/en/p/women/jegging/curvy-super-high-waisted-jegging/ae-ne-x-t-level-curvy-super-high-waisted-jegging/4430_2922_974?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$59.95,"71% cotton, 21% viscose, 7% polyester, 1% elastane", ,71% ,7% , , , , , , ,21% ,1% , , 
12,American Eagle,AE Ne(x)t Level Curvy Jegging,other,4438-2802,08/18/2020 14:55:56,AE Ne(x)t Level Curvy Jegging,https://www.ae.com/us/en/p/women/curvy-jeans/curvy-jegging/ae-ne-x-t-level-curvy-jegging/4438_2802_055?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$49.95,"66% cotton, 22% polyester, 10% viscose, 2% elastane", ,66% ,22% , , , , , , ,10% ,2% , , 
13,American Eagle,AE Ne(x)t Level Curvy High-Waisted Jegging,other,3439-2674,08/18/2020 14:56:04,AE Ne(x)t Level Curvy High-Waisted Jegging,https://www.ae.com/us/en/p/women/curvy-jeans/curvy-high-waisted-jegging/ae-ne-x-t-level-curvy-high-waisted-jegging/3439_2674_990?isFiltered=false&nvid=plp%3Acat6430042&menu=cat4840004,$69.95,"80% cotton, 12% polyester, 6% viscose, 2% elastane", ,80% ,12% , , , , , , ,6% ,2% , , 
