,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,Forever 21,Pintucked Ruffle-Trim Top,top,Product Code : 2000410782,08/18/2020 16:52:49,Pintucked Ruffle-Trim Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000410782,$14.99,- 100% rayon, , , , ,100% , , , , , , , , 
1,Forever 21,Cotton Zip-Up Jumpsuit,bodysuit/romper,Product Code : 2000411609,08/18/2020 16:52:55,Cotton Zip-Up Jumpsuit | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/rompers-jumpsuits/2000411609,$39.99,- 100% cotton, ,100% , , , , , , , , , , , 
2,Forever 21,Gingham Puff-Sleeve Top,top,Product Code : 2000411320,08/18/2020 16:53:01,Gingham Puff-Sleeve Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000411320,$12.99,"- 99% polyester, 1% spandex", , ,99% , , , ,1% , , , , , , 
3,Forever 21,Tie-Strap Floral Pin Dot Top,top,Product Code : 2000410387,08/18/2020 16:53:07,Tie-Strap Floral Pin Dot Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000410387,$14.99,- 100% rayon, , , , ,100% , , , , , , , , 
4,Forever 21,USA Graphic Biker Shorts,bottoms,Product Code : 2000403929,08/18/2020 16:53:12,USA Graphic Biker Shorts | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottoms/2000403929,$12.99,"- 80% nylon, 20% spandex", , , , , , ,20% ,80% , , , , , 
5,Forever 21,California Poppy Mini Dress,dress,Product Code : 2000410230,08/18/2020 16:53:18,California Poppy Mini Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000410230,$24.99,- 100% polyester, , ,100% , , , , , , , , , , 
6,Forever 21,Drawstring Peasant Crop Top,top,Product Code : 2000405864,08/18/2020 16:53:24,Drawstring Peasant Crop Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000405864,$18.00,"- shell: 89% polyester, 11% spandex- lining: 100% polyester", , ,89% , , , ,11% , , , , , , 
7,Forever 21,Houndstooth Princess Romper,bodysuit/romper,Product Code : 2000409954,08/18/2020 16:53:30,Houndstooth Princess Romper | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/rompers-jumpsuits/2000409954,$19.99,"- 43% polyester, 42% rayon, 11% nylon, 4% spandex", , ,43% , ,42% , ,4% ,11% , , , , , 
8,Forever 21,Chiffon Floral Prairie Dress,dress,Product Code : 2000410931,08/18/2020 16:53:36,Chiffon Floral Prairie Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000410931,$39.99,- 100% polyester, , ,100% , , , , , , , , , , 
9,Forever 21,Plaid Curved-Hem Shirt,top,Product Code : 2000407903,08/18/2020 16:53:42,Plaid Curved-Hem Shirt | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000407903,$14.00,- 100% cotton, ,100% , , , , , , , , , , , 
