,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,GAP,"4"" High Rise Denim Shorts",bottoms,#546782,08/18/2020 16:52:45,"4"" High Rise Denim Shorts | Gap",https://www.gap.com/browse/product.do?pid=546782002&cid=1127938&pcid=1127938&vid=1&grid=pds_0_3362_1&cpos=0&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20081813310762451640685,$18.00,"94% cotton, 5% recycled cotton, 1% elastane", ,94% , , , , , , , , ,1% , , 
1,GAP,Shrunken Short Sleeve T-Shirt,top,#539481,08/18/2020 16:52:55,Shrunken Short Sleeve T-Shirt | Gap,https://www.gap.com/browse/product.do?pid=539481092&cid=1127938&pcid=1127938&vid=1&grid=pds_1_3362_1&cpos=1&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20081813310762451640685,$10.00,100% cotton, ,100% , , , , , , , , , , , 
2,GAP,BetterMade Pocket Tank Top,top,#577513,08/18/2020 16:53:05,BetterMade Pocket Tank Top | Gap,https://www.gap.com/browse/product.do?pid=577513092&cid=1127938&pcid=1127938&vid=1&grid=pds_2_3362_1&cpos=2&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20081813310762451640685,$10.00,"70% cotton, 30% recycled cotton", ,70% , , , , , , , , , , , 
3,GAP,"4"" Khaki Shorts",bottoms,#548337,08/18/2020 16:53:15,"4"" Khaki Shorts | Gap",https://www.gap.com/browse/product.do?pid=548337012&cid=1127938&pcid=1127938&vid=1&grid=pds_3_3362_1&cpos=3&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20081813310762451640685,$15.00,"97% cotton, 3% spandex", ,97% , , , , ,3% , , , , , , 
4,GAP,Shrunken Short Sleeve T-Shirt,top,#539481,08/18/2020 16:53:24,Shrunken Short Sleeve T-Shirt | Gap,https://www.gap.com/browse/product.do?pid=539481002&cid=1127938&pcid=1127938&vid=1&grid=pds_4_3362_1&cpos=4&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20081813310762451640685,$10.00,100% cotton, ,100% , , , , , , , , , , , 
5,GAP,Vintage Wash Crewneck T-Shirt,top,#231912,08/18/2020 16:53:34,Vintage Wash Crewneck T-Shirt | Gap,https://www.gap.com/browse/product.do?pid=231912062&cid=1127938&pcid=1127938&vid=1&grid=pds_5_3362_1&cpos=5&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20081813310762451640685,$10.00,100% cotton, ,100% , , , , , , , , , , , 
6,GAP,BetterMade Pocket Tank Top,top,#577513,08/18/2020 16:53:44,BetterMade Pocket Tank Top | Gap,https://www.gap.com/browse/product.do?pid=577513032&cid=1127938&pcid=1127938&vid=1&grid=pds_6_3362_1&cpos=6&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20081813310762451640685,$10.00,"70% cotton, 30% recycled cotton", ,70% , , , , , , , , , , , 
7,GAP,"5"" High Rise Khaki Shorts",bottoms,#543274,08/18/2020 16:53:54,"5"" High Rise Khaki Shorts | Gap",https://www.gap.com/browse/product.do?pid=543274022&cid=1127938&pcid=1127938&vid=1&grid=pds_7_3362_1&cpos=7&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20081813310762451640685,$15.00,"97% cotton, 3% elastane", ,97% , , , , , , , , ,3% , , 
8,GAP,City Short,bottoms,#548341,08/18/2020 16:54:03,City Short | Gap,https://www.gap.com/browse/product.do?pid=548341002&cid=1127938&pcid=1127938&vid=1&grid=pds_8_3362_1&cpos=8&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20081813310762451640685,$15.00,"97% cotton, 3% spandex", ,97% , , , , ,3% , , , , , , 
9,GAP,"4"" Khaki Shorts",bottoms,#548337,08/18/2020 16:54:13,"4"" Khaki Shorts | Gap",https://www.gap.com/browse/product.do?pid=548337022&cid=1127938&pcid=1127938&vid=1&grid=pds_9_3362_1&cpos=9&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20081813310762451640685,$15.00,"97% cotton, 3% spandex", ,97% , , , , ,3% , , , , , , 
10,GAP,Sky High True Skinny Jeans with Secret Smoothing Pockets,bottoms,#455402,08/18/2020 16:54:23,Sky High True Skinny Jeans with Secret Smoothing Pockets | Gap,https://www.gap.com/browse/product.do?pid=455402002&cid=1127938&pcid=1127938&vid=1&grid=pds_10_3362_1&cpos=10&cexp=1567&kcid=CategoryIDs%3D1127938&cvar=11757&ctype=Listing&cpid=res20081813310762451640685,$30.00,"93% cotton, 5% polyester, 2% elastane", ,93% ,5% , , , , , , , ,2% , , 
