,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,H&M,Puff-sleeved Dress,dress,0856848001,08/18/2020 16:52:25,Puff-sleeved Dress - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0856848001.html,$24.99,"cotton 68%, polyester 30%, elastane 2%", ,68%,30%, , , , , , , ,2%, , 
1,H&M,Fine-knit Top,top,0896152002,08/18/2020 16:52:31,Fine-knit Top - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0896152002.html,$19.99,"polyester 52%, acrylic 41%, wool 4%, elastane 3%", , ,52%,41%, , , , , , ,3%, , 
2,H&M,Cotton Jersey Cycling Shorts,bottoms,0733803001,08/18/2020 16:52:37,Cotton Jersey Cycling Shorts - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0733803001.html,$9.99,"cotton 95%, elastane 5%", ,95%, , , , , , , , ,5%, , 
3,H&M,Long Cardigan,outterwear/jacket,0863595004,08/18/2020 16:52:43,Long Cardigan - Taupe - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0863595004.html,$19.99,"polyester 52%, acrylic 41%, wool 4%, elastane 3%", , ,52%,41%, , , , , , ,3%, , 
4,H&M,Fine-knit Top,top,0896152001,08/18/2020 16:52:48,Fine-knit Top - Light beige - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0896152001.html,$19.99,"polyester 52%, acrylic 41%, wool 4%, elastane 3%", , ,52%,41%, , , , , , ,3%, , 
5,H&M,Balloon-sleeved Dress,dress,0915453002,08/18/2020 16:52:54,Balloon-sleeved Dress - Light beige/leopard print - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0915453002.html,$19.99,"viscose 82%, polyamide 18%", , , , , , , , ,18%,82%, , , 
6,H&M,Ankle-length Slacks,bottoms,0783346001,08/18/2020 16:53:04,Ankle-length Slacks - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0783346001.html,$14.99,"cotton 62%, polyester 35%, elastane 3%", ,62%,35%, , , , , , , ,3%, , 
7,H&M,Mom High Ankle Jeans,bottoms,0714790020,08/18/2020 16:53:10,Mom High Ankle Jeans - Light denim blue/washed - | H&M US,https://www2.hm.com/en_us/productpage.0714790020.html,$29.99,"cotton 99%, elastane 1%", ,99%, , , , , , , , ,1%, , 
8,H&M,Slacks,bottoms,0751471001,08/18/2020 16:53:16,Slacks - Black - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0751471001.html,$19.99,"polyester 50%, cotton 47%, elastane 3%", ,47%,50%, , , , , , , ,3%, , 
9,H&M,Super Skinny High Jeans,bottoms,0706016002,08/18/2020 16:53:27,Super Skinny High Jeans - Light denim blue - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0706016002.html,$19.99,"cotton 82%, polyester 16%, elastane 2%", ,82%,16%, , , , , , , ,2%, , 
10,H&M,Knit Sweater,outterwear/jacket,0893133001,08/18/2020 16:53:34,Knit Sweater - Cream - Ladies | H&M US,https://www2.hm.com/en_us/productpage.0893133001.html,$29.99,"polyester 50%, acrylic 45%, wool 5%", , ,50%,45%, , , , , , , , , 
