,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,JCPenny,a.n.a-Womens Round Neck Short Sleeve T-Shirt,top,8420231,08/18/2020 19:08:12,a.n.a-Womens Round Neck Short Sleeve T-Shirt - JCPenney,https://www.jcpenney.com/p/ana-womens-round-neck-short-sleeve-t-shirt/ppr5007999287?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new%7Cpetite&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$6.99,fabric content: 100% cotton, ,100% , , , , , , , , , , , 
1,JCPenny,St. John's Bay Womens Round Neck Sleeveless Tank Top,top,8450487,08/18/2020 19:08:18,St. John's Bay Womens Round Neck Sleeveless Tank Top - JCPenney,https://www.jcpenney.com/p/st-johns-bay-womens-round-neck-sleeveless-tank-top/ppr5008004676?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$9.99,fabric content: 100% cotton, ,100% , , , , , , , , , , , 
2,JCPenny,Xersion Womens Crew Neck Short Sleeve T-Shirt,top,8400513,08/18/2020 19:08:25,Xersion Womens Crew Neck Short Sleeve T-Shirt - JCPenney,https://www.jcpenney.com/p/xersion-womens-crew-neck-short-sleeve-t-shirt/ppr5007946987?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$17.99,"fabric content: 62% modal, 33% polyester, 5% spandex", , ,33% , , ,62% ,5% , , , , , , 
3,JCPenny,a.n.a Womens Round Neck Sleeveless Tank Top,top,8420353,08/18/2020 19:08:30,a.n.a Womens Round Neck Sleeveless Tank Top - JCPenney,https://www.jcpenney.com/p/ana-womens-round-neck-sleeveless-tank-top/ppr5007986278?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$14.99,fabric content: 100% rayon, , , , ,100% , , , , , , , , 
4,JCPenny,Liz Claiborne-Womens Split Crew Neck Short Sleeve T-Shirt,top,8510543,08/18/2020 19:08:36,Liz Claiborne-Womens Split Crew Neck Short Sleeve T-Shirt - JCPenney,https://www.jcpenney.com/p/liz-claiborne-womens-split-crew-neck-short-sleeve-t-shirt/ppr5007938121?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$18,"fabric content: 60% cotton, 40% tencel lyocell", ,60% , , , , , , , , , , , 
5,JCPenny,Liz Claiborne Womens Sleeveless Button-Down Shirt,top,8510521,08/18/2020 19:08:41,Liz Claiborne Womens Sleeveless Button-Down Shirt - JCPenney,https://www.jcpenney.com/p/liz-claiborne-womens-sleeveless-button-down-shirt/ppr5007931865?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$22.20,fabric content: 100% rayon, , , , ,100% , , , , , , , , 
6,JCPenny,Liz Claiborne Womens Split Crew Neck Short Sleeve Blouse,top,8140405,08/18/2020 19:08:46,Liz Claiborne Womens Split Crew Neck Short Sleeve Blouse - JCPenney,https://www.jcpenney.com/p/liz-claiborne-womens-split-crew-neck-short-sleeve-blouse/ppr5007945454?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$18,"fabric content: 95% polyester, 5% spandex", , ,95% , , , ,5% , , , , , , 
7,JCPenny,Artesia Womens Y Neck Short Sleeve Blouse,top,6265028,08/18/2020 19:08:52,"Artesia Womens Y Neck Short Sleeve Blouse, Color: Warm Grey - JCPenney",https://www.jcpenney.com/p/artesia-womens-y-neck-short-sleeve-blouse/ppr5007947270?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$31.99,fabric content: 100% rayon, , , , ,100% , , , , , , , , 
8,JCPenny,Artesia Womens Split Tie Neck Sleeveless Blouse,top,6265032,08/18/2020 19:08:57,Artesia Womens Split Tie Neck Sleeveless Blouse - JCPenney,https://www.jcpenney.com/p/artesia-womens-split-tie-neck-sleeveless-blouse/ppr5007947274?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$17.99,"fabric content: 65% rayon, 35% polyester", , ,35% , ,65% , , , , , , , , 
9,JCPenny,Liz Claiborne-Womens Split Crew Neck Short Sleeve T-Shirt,top,8510544,08/18/2020 19:09:02,Liz Claiborne-Womens Split Crew Neck Short Sleeve T-Shirt - JCPenney,https://www.jcpenney.com/p/liz-claiborne-womens-split-crew-neck-short-sleeve-t-shirt/ppr5007938119?pTmplType=regular&deptId=dept20000013&catId=cat100210006&urlState=%2Fg%2Fwomen%2Fwomens-tops%3Fid%3Dcat100210006&productGridView=medium&badge=new%7Cpetite&cm_re=ZI-_-DEPARTMENT-_-VN-_-DEPT-WOMENS-X2-1-_-TOPS-_-DESKTOP_1,$18,"fabric content: 60% cotton, 40% tencel lyocell", ,60% , , , , , , , , , , , 
