,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,Old Navy,Split-Neck Popover Blouse for Women,top,#613827,08/19/2020 17:29:05,Split-Neck Popover Blouse for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=613827052&cid=72091&pcid=72091&vid=1&grid=pds_0_1057_1&cpos=0&cexp=1504&kcid=CategoryIDs%3D72091&cvar=11299&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$25.00,100% rayon, , , , ,100% , , , , , , , , 
1,Old Navy,"Oversized ""Saturday Forever"" Rolled-Sleeve Sweatshirt for Women",top,#613901,08/19/2020 17:29:13,"Oversized ""Saturday Forever"" Rolled-Sleeve Sweatshirt for Women | Old Navy",https://oldnavy.gap.com/browse/product.do?pid=613901002&cid=72091&pcid=72091&vid=1&grid=pds_1_1057_1&cpos=1&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$16.00,"93% cotton, 7% polyester", ,93% ,7% , , , , , , , , , , 
2,Old Navy,Relaxed Western Jean Shirt for Women,top,#613810,08/19/2020 17:29:22,Relaxed Western Jean Shirt for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=613810002&cid=72091&pcid=72091&vid=1&grid=pds_2_1057_1&cpos=2&cexp=1504&kcid=CategoryIDs%3D72091&cvar=11299&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$30.00,100% cotton, ,100% , , , , , , , , , , , 
3,Old Navy,Slim-Fit Rib-Knit Long-Sleeve Henley Tee for Women,top,#609945,08/19/2020 17:29:30,Slim-Fit Rib-Knit Long-Sleeve Henley Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=609945052&cid=72091&pcid=72091&vid=1&grid=pds_3_1057_1&cpos=3&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$19.99,"57% cotton, 38% polyester, 5% spandex", ,57% ,38% , , , ,5% , , , , , , 
4,Old Navy,Luxe Crew-Neck Slub-Knit Long-Sleeve Tee for Women,top,#609900,08/19/2020 17:29:38,Luxe Crew-Neck Slub-Knit Long-Sleeve Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=609900022&cid=72091&pcid=72091&vid=1&grid=pds_4_1057_1&cpos=4&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$19.99,"95% rayon, 5% spandex", , , , ,95% , ,5% , , , , , , 
5,Old Navy,Luxe V-Neck Tee for Women,top,#503945,08/19/2020 17:29:47,Luxe V-Neck Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=503945172&cid=72091&pcid=72091&vid=1&grid=pds_5_1057_1&cpos=5&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$12.00,"95% rayon , 5% spandex", , , , ,95% , ,5% , , , , , , 
6,Old Navy,Plaid Flannel Boyfriend Shirt for Women,top,#613773,08/19/2020 17:29:55,Plaid Flannel Boyfriend Shirt for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=613773002&cid=72091&pcid=72091&vid=1&grid=pds_6_1057_1&cpos=6&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$34.99,100% cotton, ,100% , , , , , , , , , , , 
7,Old Navy,Oversized Logo-Graphic Weekend Tee for Women,top,#621819,08/19/2020 17:30:04,Oversized Logo-Graphic Weekend Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=621819032&cid=72091&pcid=72091&vid=1&grid=pds_7_1057_1&cpos=7&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$10.00,100% cotton, ,100% , , , , , , , , , , , 
8,Old Navy,Slim-Fit Scoop-Neck Henley Tee for Women,top,#608277,08/19/2020 17:30:12,Slim-Fit Scoop-Neck Henley Tee for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=608277022&cid=72091&pcid=72091&vid=1&grid=pds_8_1057_1&cpos=8&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$15.00,"55% cotton, 34% polyester, 11% rayon", ,55% ,34% , ,11% , , , , , , , , 
9,Old Navy,Classic Plaid Flannel Shirt for Women,top,#613776,08/19/2020 17:30:21,Classic Plaid Flannel Shirt for Women | Old Navy,https://oldnavy.gap.com/browse/product.do?pid=613776072&cid=72091&pcid=72091&vid=1&grid=pds_9_1057_1&cpos=9&cexp=1504&kcid=CategoryIDs%3D72091&ctype=Listing&cpid=res20081914795034173780602&ccam=2719,$29.99,100% cotton, ,100% , , , , , , , , , , , 
