,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,Reformation,Ren Pant,bottoms,1307187BLK0XS,08/18/2020 17:40:26,Ren Pant - Reformation,https://www.thereformation.com/products/ren-pant?color=Black&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$178,this is a lightweight silk charmeuse fabric - 100% silk., , , , , , , , , , , , , 
1,Reformation,Yucca Two Piece,other,1306451WHT000,08/18/2020 17:40:39,Yucca Two Piece - Reformation,https://www.thereformation.com/products/yucca-two-piece?color=White&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$278,this is a lightweight linen fabric - 100% linen., , , , , , , , , , , ,100% , 
2,Reformation,Othello Dress,dress,1306012TLU000,08/18/2020 17:40:50,Othello Dress - Reformation,https://www.thereformation.com/products/othello-dress?color=Tuli&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$178,this is a lightweight georgette fabric with a dry handfeel - 100% viscose., , , , , , , , , ,100% , , , 
3,Reformation,Billie Dress,dress,1307178WHT0XS,08/18/2020 17:41:02,Billie Dress - Reformation,https://www.thereformation.com/products/billie-dress?color=White&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$218,"this is a lightweight, semi-sheer voile fabric - 100% tencel ® lyocell.tencel™ lyocell comes from eucalyptus trees, which take only half an acre to produce one ton of fiber. it’s closed loop production means 99% of the non-toxic solvent is reused.", , , , , , , , , , , , , 
4,Reformation,Lyra Dress,dress,1307181PRL0XS,08/18/2020 17:41:14,Lyra Dress - Reformation,https://www.thereformation.com/products/lyra-dress?color=Praline&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$278,this is a lightweight silk charmeuse fabric - 100% silk., , , , , , , , , , , , , 
5,Reformation,Lianne Dress,dress,1307134QUA000,08/18/2020 17:41:25,Lianne Dress - Reformation,https://www.thereformation.com/products/lianne-dress?color=Queen+Anne&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$218,this is a lightweight linen fabric - 100% linen., , , , , , , , , , , ,100% , 
6,Reformation,Juliette Dress,dress,1304968STH000,08/18/2020 17:41:37,Juliette Dress - Reformation,https://www.thereformation.com/products/juliette-dress?color=Samantha&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$218,this is a lightweight georgette fabric with a dry handfeel - 100% viscose., , , , , , , , , ,100% , , , 
7,Reformation,Sigmund Dress,dress,1305735SPA000,08/18/2020 17:41:49,Sigmund Dress - Reformation,https://www.thereformation.com/products/sigmund-dress?color=Splatter&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$248,"this is a lightweight drapey crepe fabric with a dry hand feel - 53% viscose, 47% rayon.", , , , ,47% , , , , ,53% , , , 
8,Reformation,Seville Dress Es,dress,1305048BLK01X,08/18/2020 17:42:01,Seville Dress Es - Reformation,https://www.thereformation.com/products/seville-dress-es?color=Black&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$98,"this is a lightweight drapey crepe fabric with a dry hand feel - 53% viscose, 47% rayon.", , , , ,47% , , , , ,53% , , , 
9,Reformation,Laurent Dress,dress,1306249AZO0XS,08/18/2020 17:42:15,Laurent Dress - Reformation,https://www.thereformation.com/products/laurent-dress?color=Azzurro&via=Z2lkOi8vcmVmb3JtYXRpb24td2VibGluYy9Xb3JrYXJlYTo6Q2F0YWxvZzo6Q2F0ZWdvcnkvNWE2YWRmZDJmOTJlYTExNmNmMDRlOWM1,$178,"this is a lightweight drapey crepe fabric with a dry hand feel - 53% viscose, 47% rayon.", , , , ,47% , , , , ,53% , , , 
