,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,Uniqulo,WOMEN 3D KNIT LAMBSWOOL-BLEND BALLOON LONG-SLEEVE DRESS,dress,432332COL01SMA001000,08/18/2020 18:31:46,WOMEN 3D KNIT LAMBSWOOL-BLEND BALLOON LONG-SLEEVE DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-3d-knit-lambswool-blend-balloon-long-sleeve-dress-432332.html?dwvar_432332_color=COL08&cgid=women-dresses-and-jumpsuits,59.90,"70% wool, 30% nylon", , , , , , , ,30% , , , , , 
1,Uniqulo,WOMEN DISNEY FURRY FRIENDS SWEAT LONG-SLEEVE DRESS,dress,431302COL11SMA001000,08/18/2020 18:31:52,WOMEN DISNEY FURRY FRIENDS SWEAT LONG-SLEEVE DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-disney-furry-friends-sweat-long-sleeve-dress-431302.html?dwvar_431302_color=COL11&cgid=women-dresses-and-jumpsuits,29.90,"body: 100% cotton/ rib: 78% cotton, 22% polyester", ,100% ,22% , , , , , , , , , , 
2,Uniqulo,WOMEN DISNEY FURRY FRIENDS SWEAT LONG-SLEEVE DRESS,dress,432235COL54SMA001000,08/18/2020 18:31:58,WOMEN DISNEY FURRY FRIENDS SWEAT LONG-SLEEVE DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-disney-furry-friends-sweat-long-sleeve-dress-432235.html?dwvar_432235_color=COL54&cgid=women-dresses-and-jumpsuits,29.90,"body: 100% cotton/ rib: 78% cotton, 22% polyester/ exclusive of decoration", ,100% ,22% , , , , , , , , , , 
3,Uniqulo,WOMEN DISNEY FURRY FRIENDS SWEAT LONG-SLEEVE DRESS,dress,432236COL30SMA001000,08/18/2020 18:32:04,WOMEN DISNEY FURRY FRIENDS SWEAT LONG-SLEEVE DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-disney-furry-friends-sweat-long-sleeve-dress-432236.html?dwvar_432236_color=COL30&cgid=women-dresses-and-jumpsuits,29.90,"body: 100% cotton/ rib: 78% cotton, 22% polyester", ,100% ,22% , , , , , , , , , , 
4,Uniqulo,WOMEN DISNEY FURRY FRIENDS SWEAT LONG-SLEEVE DRESS,dress,432237COL09SMA001000,08/18/2020 18:32:10,WOMEN DISNEY FURRY FRIENDS SWEAT LONG-SLEEVE DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-disney-furry-friends-sweat-long-sleeve-dress-432237.html?dwvar_432237_color=COL09&cgid=women-dresses-and-jumpsuits,29.90,"body: 100% cotton/ rib: 78% cotton, 22% polyester/ exclusive of decoration", ,100% ,22% , , , , , , , , , , 
5,Uniqulo,WOMEN EDO UKIYO-E A-LINE SLEEVELESS LONG DRESS,dress,422879COL05SMA002000,08/18/2020 18:32:16,WOMEN EDO UKIYO-E A-LINE SLEEVELESS LONG DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-edo-ukiyo-e-a-line-sleeveless-long-dress-422879.html?dwvar_422879_color=COL05&cgid=women-dresses-and-jumpsuits,29.90,100% cotton, ,100% , , , , , , , , , , , 
6,Uniqulo,WOMEN EDO UKIYO-E A-LINE SLEEVELESS LONG DRESS,dress,422880COL09SMA002000,08/18/2020 18:32:22,WOMEN EDO UKIYO-E A-LINE SLEEVELESS LONG DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-edo-ukiyo-e-a-line-sleeveless-long-dress-422880.html?dwvar_422880_color=COL09&cgid=women-dresses-and-jumpsuits,29.90,100% cotton, ,100% , , , , , , , , , , , 
7,Uniqulo,WOMEN SEERSUCKER LONG-SLEEVE FLARE DRESS (HANA TAJIMA),dress,429702COL09SMA002000,08/18/2020 18:32:28,WOMEN SEERSUCKER LONG-SLEEVE FLARE DRESS (HANA TAJIMA) | UNIQLO US,https://www.uniqlo.com/us/en/women-seersucker-long-sleeve-flare-dress-hana-tajima-429702.html?dwvar_429702_color=COL30&cgid=women-dresses-and-jumpsuits,49.90,"[09black] 100% cotton [other colors]body: 100% cotton, petticoat: 80% polyester, 20% cotton", ,100% ,80% , , , , , , , , , , 
8,Uniqulo,WOMEN PRINTED LONG-SLEEVE FLARE DRESS (HANA TAJIMA),dress,431724COL26SMA002000,08/18/2020 18:32:34,WOMEN PRINTED LONG-SLEEVE FLARE DRESS (HANA TAJIMA) | UNIQLO US,https://www.uniqlo.com/us/en/women-printed-long-sleeve-flare-dress-hana-tajima-431724.html?dwvar_431724_color=COL26&cgid=women-dresses-and-jumpsuits,49.90,"55% modal, 45% cotton", ,45% , , , ,55% , , , , , , , 
9,Uniqulo,WOMEN RAYON LONG-SLEEVE SHIRT DRESS (HANA TAJIMA),top,434216COL09SMA002000,08/18/2020 18:32:40,WOMEN RAYON LONG-SLEEVE SHIRT DRESS (HANA TAJIMA) | UNIQLO US,https://www.uniqlo.com/us/en/women-rayon-long-sleeve-shirt-dress-hana-tajima-434216.html?dwvar_434216_color=COL30&cgid=women-dresses-and-jumpsuits,49.90,body: 100% rayon/ inner: 100% polyester, , ,100% , ,100% , , , , , , , , 
