,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
0,Uniqulo,WOMEN ULTRA STRETCH WARM LONG-SLEEVE DRESS,dress,429911COL09SMA002000,10/16/2020 18:05:38,WOMEN ULTRA STRETCH WARM LONG-SLEEVE DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-ultra-stretch-warm-long-sleeve-dress-429911.html?dwvar_429911_color=COL09&cgid=women-dresses-and-jumpsuits,24.90,"69% polyester, 29% cotton, 2% spandex", ,29% ,69% , , , ,2% , , , , , , 
1,Uniqulo,WOMEN U DENIM LONG-SLEEVE LONG SHIRT DRESS,top,430964COL68SMA001000,10/16/2020 18:05:45,WOMEN U DENIM LONG-SLEEVE LONG SHIRT DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-u-denim-long-sleeve-long-shirt-dress-430964.html?dwvar_430964_color=COL68&cgid=women-dresses-and-jumpsuits,59.90,100% cotton, ,100% , , , , , , , , , , , 
2,Uniqulo,WOMEN U MERINO-BLEND POLO LONG-SLEEVE DRESS,dress,431752COL08SMA001000,10/16/2020 18:05:51,WOMEN U MERINO-BLEND POLO LONG-SLEEVE DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-u-merino-blend-polo-long-sleeve-dress-431752.html?dwvar_431752_color=COL34&cgid=women-dresses-and-jumpsuits,59.90,"55% wool, 45% polyester", , ,45% , , , , , , , , , , 
3,Uniqulo,WOMEN U LONG-SLEEVE LONG SHIRT DRESS,top,434837COL01SMA001000,10/16/2020 18:05:57,WOMEN U LONG-SLEEVE LONG SHIRT DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-u-long-sleeve-long-shirt-dress-434837.html?dwvar_434837_color=COL01&cgid=women-dresses-and-jumpsuits,59.90,100% cotton, ,100% , , , , , , , , , , , 
4,Uniqulo,WOMEN JOY OF PRINT CHIFFON BOW TIE 3/4 SLEEVE DRESS,dress,429433COL30SMA001000,10/16/2020 18:06:03,WOMEN JOY OF PRINT CHIFFON BOW TIE 3/4 SLEEVE DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-joy-of-print-chiffon-bow-tie-3%2F4-sleeve-dress-429433.html?dwvar_429433_color=COL30&cgid=women-dresses-and-jumpsuits,39.90,body: 100% polyester/ inner: 100% polyester, , ,100% /100% , , , , , , , , , , 
5,Uniqulo,WOMEN U VISCOSE BOW TIE 3/4-SLEEVE DRESS,dress,430967COL09SMA001000,10/16/2020 18:06:10,WOMEN U VISCOSE BOW TIE 3/4-SLEEVE DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-u-viscose-bow-tie-3%2F4-sleeve-dress-430967.html?dwvar_430967_color=COL09&cgid=women-dresses-and-jumpsuits,59.90,shell: 100% rayon/ lining: 100% polyester, , ,100% , ,100% , , , , , , , , 
6,Uniqulo,WOMEN U CORDUROY STAND COLLAR LONG-SLEEVE DRESS,dress,430970COL09SMA001000,10/16/2020 18:06:16,WOMEN U CORDUROY STAND COLLAR LONG-SLEEVE DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-u-corduroy-stand-collar-long-sleeve-dress-430970.html?dwvar_430970_color=COL34&cgid=women-dresses-and-jumpsuits,59.90,100% cotton, ,100% , , , , , , , , , , , 
7,Uniqulo,WOMEN BELTED PLEATED LONG-SLEEVE DRESS (JW ANDERSON),dress,431750COL09SMA001000,10/16/2020 18:06:22,WOMEN BELTED PLEATED LONG-SLEEVE DRESS (JW ANDERSON) | UNIQLO US,https://www.uniqlo.com/us/en/women-belted-pleated-long-sleeve-dress-jw-anderson-431750.html?dwvar_431750_color=COL09&cgid=women-dresses-and-jumpsuits,59.90,100% polyester, , ,100% , , , , , , , , , , 
8,Uniqulo,WOMEN RAYON STAND COLLAR SHIRT DRESS (JW ANDERSON),top,431751COL62SMA001000,10/16/2020 18:06:28,WOMEN RAYON STAND COLLAR SHIRT DRESS (JW ANDERSON) | UNIQLO US,https://www.uniqlo.com/us/en/women-rayon-stand-collar-shirt-dress-jw-anderson-431751.html?dwvar_431751_color=COL62&cgid=women-dresses-and-jumpsuits,49.90,100% rayon, , , , ,100% , , , , , , , , 
9,Uniqulo,WOMEN SOUFFLE YARN TURTLENECK LONG-SLEEVE DRESS,dress,433582COL01SMA001000,10/16/2020 18:06:34,WOMEN SOUFFLE YARN TURTLENECK LONG-SLEEVE DRESS | UNIQLO US,https://www.uniqlo.com/us/en/women-souffle-yarn-turtleneck-long-sleeve-dress-433582.html?dwvar_433582_color=COL01&cgid=women-dresses-and-jumpsuits,39.90,"60% acrylic, 30% nylon, 8% wool, 2% spandex", , , ,60% , , ,2% ,30% , , , , , 
